zone,set,beta,k,M
zone322,4,12,0.50542519959278864,17172530.375236392
zone322,4,30,0.3098056150706987,112124774.08956192
zone322,4,60,0.21189105143601841,151772818.66742957
zone322,4,120,0.16982539561630622,187949804.45791575
zone322,4,250,0.22201177568840769,268971950.84148544
zone411,4,1.05,0.76952368570670959,849901843.43157482
zone411,4,2,0.64434326213914828,569012950.6830337
zone411,4,5,0.44953708369262596,245293044.21498537
zone411,4,12,0.31169931626556457,115745319.95712639
zone411,4,30,0.24300700331503575,124790978.74749787
zone411,4,60,0.22267070991977964,208109183.22503027
zone411,4,120,0.21390433563852071,389493192.92239505
zone411,4,250,0.20985404729157026,787284044.47281253
zone412,4,1.05,0.80641211860441764,679818841.26709211
zone412,4,2,0.69750029664818547,490544443.69833106
zone412,4,5,0.51595590079265297,264275196.14343593
zone412,4,12,0.3621538178799974,160433877.2885913
zone412,4,30,0.25221097359552913,138781245.4820483
zone412,4,60,0.20099265615959838,154397840.57774657
zone412,4,120,0.16964323361471156,195890261.07416609
zone412,4,250,0.15083006279796135,287625659.70951426
zone421,4,1.05,0.91674800203929374,-252956270.13422987
zone421,4,2,0.8527579108651907,-211724930.63013479
zone421,4,5,0.70007332535912048,-118808095.2394067
zone421,4,12,0.49920112270682226,-11145467.253591496
zone421,4,30,0.30701492098377775,100462392.35836713
zone421,4,60,0.22707712166136873,206819247.91244045
zone421,4,120,0.25375514342397593,378437535.37486285
zone421,4,250,0.24992937159707199,780183093.54207695
zone422,4,1.05,0.91892018992030899,-152425281.74495682
zone422,4,2,0.85650059365375419,-115833948.15701427
zone422,4,5,0.7070635869144315,-35053503.977371059
zone422,4,12,0.50838265051107046,50892827.519443683
zone422,4,30,0.31055540067231152,116500470.37133624
zone422,4,60,0.21193533816768306,151947392.52681687
zone422,4,120,0.17265782279411646,195615611.82308313
zone422,4,250,0.22486939645602047,297184639.56531
zone4222,4,1.05,0.91825032098112025,-158332103.69091654
zone4222,4,2,0.85531162697285879,-121155086.86156344
zone4222,4,5,0.70461377250678658,-39128804.015472993
zone4222,4,12,0.50418493349293592,48094958.129939184
zone4222,4,30,0.30437929398429608,114526895.57930909
zone4222,4,60,0.20440734014412063,150215151.75377059
zone4222,4,120,0.16421011992902904,194161343.66822061
zone4222,4,250,0.20990940120315602,298629130.1340816
zone111,5,1.05,0.49596136366089955,14612238.67009693
zone111,5,2,0.4962846038550649,27885219.160483509
zone111,5,5,0.49649872722783672,69799801.805079579
zone111,5,12,0.4965819466872004,167600446.84588847
zone111,5,30,0.4966176034774229,419087799.33755255
zone111,5,60,0.49662948791550182,838233381.36633193
zone111,5,120,0.49663542991731657,1676524543.3776112
zone111,5,250,0.49663851970103073,3492822059.9455843
zone211,5,1.05,0.49568619798364399,14558495.062110003
zone211,5,2,0.46166356380547585,21710279.826058865
zone211,5,5,0.37733206688131882,29956674.40664164
zone211,5,12,0.29494075247388896,38647260.208222188
zone211,5,30,0.22309403829369939,52586011.718482107
zone211,5,60,0.18210879736871469,71414336.352479458
zone211,5,120,0.15262058073110363,105874779.98881589
zone211,5,250,0.13218416346844608,177499984.05719689
zone212,5,1.05,0.71565268816082572,50402209.810420848
zone212,5,2,0.62681242909590773,58196465.588751189
zone212,5,5,0.48836334657765451,66144289.046635173
zone212,5,12,0.35355893903602575,65856686.763608173
zone212,5,30,0.21118817378871504,43529867.737191439
zone212,5,60,0.045112144401503532,-17691483.119831778
